sep=|
Open?|Time|Days of Week|Location|Dates|CRN|Subject|Course #|Section|Campus|Credits|Course Title|Seats Remaining|Waitlist Actual|Waitlist Remaining|Instructor(s)|
false|7:30 am - 8:55 am|MR|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10070|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|30|0|0|Sean   Fitzsimons (P)|
false|12:15 pm - 1:40 pm|MR|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10071|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|0|0|0|Robert   Meiselas (P)|
false|1:50 pm - 3:15 pm|TF|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10072|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|18|0|0|Gerald Emanuel  Singh (P)|
false|9:05 am - 10:30 am|MR|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10231|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|25|0|0|Sean   Fitzsimons (P)|
false|10:40 am - 12:05 pm|TF|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10232|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|28|0|0|Jeremiah J.  O'Sullivan (P)|
false|12:15 pm - 1:40 pm|TF|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10504|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|30|0|0|Jeremiah J.  O'Sullivan (P)|
false|10:40 am - 12:05 pm|MR|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10505|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|9|0|0|Almerinda   Forte (P)|
false|9:30 am - 11:15 am|S|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10915|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|26|0|0|Gerald Emanuel  Singh (P)|
false|3:25 pm - 4:50 pm|MR|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10916|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|18|0|0|Robert   Meiselas (P)|
false|7:10 pm - 10:00 pm|W|DASILVA  ACADEMIC CENTER 214|Jan 22, 2014 - May 13, 2014|13087|ACC|1007|0|S|3.000|FUNDAMENTALS OF ACCOUNTING I|10|0|0|John   D'Amico (P)|
false|7:30 am - 8:55 am|TF|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|13827|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|23|0|0|Panayiotis S.  Andreou (P)|
false|7:10 pm - 10:00 pm|T|MARILLAC HALL 122|Jan 22, 2014 - May 13, 2014|14853|ACC|1007|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|26|0|0|Charles J.  Gonsalves (P)|
false|10:40 am - 12:05 pm|MR|LAVELLE HALL 206B|Jan 22, 2014 - May 13, 2014|15489|ACC|1007|0|S|3.000|FUNDAMENTALS OF ACCOUNTING I|8|0|0|Rosalba   Mazzola (P)|
false|7:10 pm - 10:00 pm|T|DASILVA  ACADEMIC CENTER 214|Jan 22, 2014 - May 13, 2014|10200|ACC|1008|0|S|3.000|FUNDAMENTALS OF ACCOUNTING II|3|0|0|Mark   Buro (P)|
false|7:10 pm - 10:00 pm|M|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10802|ACC|1008|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|5|0|0|Robert G.  Pennachio (P)|
false|9:05 am - 10:30 am|MR|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|10971|ACC|1008|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|0|0|0|Almerinda   Forte (P)|
false|7:10 pm - 10:00 pm|T|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|13079|ACC|1008|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING|26|0|0|Ruchika   Sharma (P)|
false|9:05 am - 10:30 am|TF|MARILLAC HALL 137|Jan 22, 2014 - May 13, 2014|13081|ACC|1008|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|28|0|0|Jeremiah J.  O'Sullivan (P)|
false|7:10 pm - 10:00 pm|M|LAVELLE HALL 104|Jan 22, 2014 - May 13, 2014|13086|ACC|1008|0|S|3.000|FUNDAMENTALS OF ACCOUNTING II|8|0|0|John   D'Amico (P)|
false|10:40 am - 1:30 pm|W|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|10003|ACC|2338|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|33|0|5|Yeong C.  Choi (P)|
false|12:15 pm - 1:40 pm|TF|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|10431|ACC|2338|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|30|0|0|Vijay P  Kumar (P)|
false|3:25 pm - 4:50 pm|MR|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|11740|ACC|2338|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING I|33|0|0|TBA|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|16293|ACC|2338|0|D|3.000|FUNDAMENTALS OF ACCOUNTING I|12|0|0|Teresa   Danile (P)|
false|1:50 pm - 4:40 pm|W|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|10001|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|34|0|0|Yeong C.  Choi (P)|
false|1:50 pm - 3:15 pm|TF|D'ANGELO CENTER 207|Jan 22, 2014 - May 13, 2014|10052|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|17|0|0|Mark Morgan  Ulrich (P)|
false|10:40 am - 12:05 pm|TF|MAHONEY HALL 203B|Jan 22, 2014 - May 13, 2014|10175|ACC|2339|0|S|3.000|FUNDAMENTALS OF ACCOUNTING II|33|0|0|Craig A.  Latshaw (P)|
false|12:15 pm - 1:40 pm|MR|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|10506|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|32|0|0|Lawrence J.  Ruisi (P)|
false|9:05 am - 10:30 am|TF|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|10876|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|5|0|0|Mark Morgan  Ulrich (P)|
false|3:25 pm - 4:50 pm|MR|ST. JOHN HALL 209|Jan 22, 2014 - May 13, 2014|10991|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|20|0|5|Biagio   Pilato (P)|
false|9:05 am - 10:30 am|TF|ST. JOHN HALL 209|Jan 22, 2014 - May 13, 2014|11757|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|35|0|0|Jialin   Sun (P)|
false|9:05 am - 10:30 am|MR|MARILLAC HALL 433|Jan 22, 2014 - May 13, 2014|12025|ACC|2339|0|Q|3.000|FUND OF ACCOUNTING II-HONORS|0|0|0|Biagio   Pilato (P)|
false|5:00 pm - 6:25 pm|MR|MARILLAC HALL 306B|Jan 22, 2014 - May 13, 2014|15454|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|26|0|0|Patrick A.  Casabona (P)|
false|12:15 pm - 1:40 pm|TF|MARILLAC HALL 225|Jan 22, 2014 - May 13, 2014|15492|ACC|2339|0|Q|3.000|FUNDAMENTALS OF ACCOUNTING II|28|0|0|Jialin   Sun (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|15713|ACC|2339|0|D|3.000|FUNDAMENTALS OF ACCOUNTING II|0|0|0|Teresa   Danile (P)|
false|9:05 am - 10:30 am|MR|D'ANGELO CENTER 207|Jan 22, 2014 - May 13, 2014|16352|ACC|2371|0|Q|3.000|INTERMEDIATE ACCOUNTING I|26|0|0|Cynthia R.  Phillips (P)|
false|9:05 am - 10:30 am|MR|ST. JOHN HALL 304B|Jan 22, 2014 - May 13, 2014|16353|ACC|2371|0|Q|3.000|INTERMEDIATE ACC I - HONORS|-1|0|0|Nina T.  Dorata (P)|
false|1:50 pm - 3:15 pm|TF|LAVELLE HALL 210|Jan 22, 2014 - May 13, 2014|16363|ACC|2371|0|S|3.000|INTERMEDIATE ACCOUNTING I|22|0|0|Craig A.  Latshaw (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|16421|ACC|2371|0|D|3.000|INTERMEDIATE ACCOUNTING I|19|0|0|Teresa   Danile (P)|
false|10:40 am - 12:05 pm|TF|MARILLAC HALL 325|Jan 22, 2014 - May 13, 2014|16455|ACC|2371|0|Q|3.000|INTERMEDIATE ACCOUNTING I|25|0|0|Joseph E  Trainor (P)|
false|5:00 pm - 6:25 pm|MR|ST. JOHN HALL 305|Jan 22, 2014 - May 13, 2014|16456|ACC|2371|0|Q|3.000|INTERMEDIATE ACCOUNTING I|23|0|0|TBA|
false|10:40 am - 12:05 pm|MR|MARILLAC HALL 427|Jan 22, 2014 - May 13, 2014|16136|ACC|3341|0|Q|3.000|INTERMEDIATE ACCOUNTING I|19|0|0|Patrick A.  Casabona (P)|
false|7:30 am - 8:55 am|TF|MARILLAC HALL 139|Jan 22, 2014 - May 13, 2014|10877|ACC|3342|0|Q|3.000|INTERMEDIATE ACCOUNTING II|0|0|0|Benjamin Rue  Silliman (P)|
false|12:15 pm - 1:40 pm|MR|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|10879|ACC|3342|0|Q|3.000|INTERMEDIATE ACCOUNTING II|0|0|0|Nina T.  Dorata (P)|
false|9:05 am - 10:30 am|MR|ST. JOHN HALL 209|Jan 22, 2014 - May 13, 2014|10880|ACC|3342|0|Q|3.000|INTERMEDIATE ACCOUNTING II|14|0|0|TBA|
false|12:15 pm - 1:40 pm|MR|LAVELLE HALL 104|Jan 22, 2014 - May 13, 2014|13348|ACC|3342|0|S|3.000|INTERMEDIATE ACCOUNTING II|17|0|0|Irene N.  McCarthy (P)|
false|9:05 am - 10:30 am|TF|MARILLAC HALL 432|Jan 22, 2014 - May 13, 2014|11756|ACC|3345|0|Q|3.000|COST ACCOUNTING|25|0|0|Vincent J.  Shea II (P)|
false|12:15 pm - 1:40 pm|TF|MARILLAC HALL 433|Jan 22, 2014 - May 13, 2014|15471|ACC|3345|0|Q|3.000|COST ACCOUNTING|6|0|0|Cynthia R.  Phillips (P)|
false|12:15 pm - 1:40 pm|TF|ST. JOHN HALL 113|Jan 22, 2014 - May 13, 2014|13156|ACC|3354|0|Q|3.000|ACCOUNTING INFORMATION SYSTEMS|17|0|0|Vincent J.  Shea II (P)|
false|10:40 am - 12:05 pm|TF|ST. JOHN HALL 307|Jan 22, 2014 - May 13, 2014|13721|ACC|3354|0|Q|3.000|ACCOUNTING INFORMATION SYSTEMS|0|0|0|Vincent J.  Shea II (P)|
false|9:00 am - 11:50 am|W|LAVELLE HALL 104|Jan 22, 2014 - May 13, 2014|14815|ACC|4344|0|S|3.000|ADVANCED ACCOUNTING II|29|0|0|Adrian P.  Fitzsimons (P)|
false|3:25 pm - 4:50 pm|MR|MARILLAC HALL 133A|Jan 22, 2014 - May 13, 2014|14215|ACC|4352|0|Q|3.000|FINANCIAL STATEMENT ANALYSIS|5|0|0|Patrick A.  Casabona (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|16388|ACC|4399|0|Q|3.000|ACCOUNTING INTERNSHI I|20|0|0|Irene N.  McCarthy (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|16389|ACC|4399|0|Q|3.000|ACCOUNTING INTERNSHI I|15|0|0|Joseph E  Trainor (P)|
false|7:10 pm - 9:40 pm|R|ST. JOHN HALL 212|Jan 22, 2014 - May 13, 2014|11415|ACC|503|0|Q|3.000|FINANCIAL REORTING|14|0|0|Patrick R.  Colabella (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|15399|ACC|503|0|D|3.000|FINANCIAL REORTING|5|0|0|Patrick R.  Colabella (P)|
false|6:00 pm - 8:30 pm|M|MURRAY HALL 208|Jan 22, 2014 - May 13, 2014|16298|ACC|503|0|M|3.000|FINANCIAL REORTING|15|0|0|Patrick R.  Colabella (P)|
false|7:10 pm - 10:40 pm|W|ST. JOHN HALL 208|Jan 22, 2014 - May 13, 2014|14613|ACC|515|0|Q|3.000|FIN'L REORTING CONCETS &ROB|25|0|0|Felix I.  Lessambo (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|15658|ACC|515|0|D|3.000|FIN'L REORTING CONCETS &ROB|20|0|0|Timothy G.  Coville (P)|
false|6:00 pm - 8:30 pm|W|MURRAY HALL 315|Jan 22, 2014 - May 13, 2014|13550|ACC|601|0|M|3.000|FIN STATEMENT ANALYSIS II|11|0|0|Joseph C.  Macina (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|13052|ACC|605|0|D|3.000|INTERN IN ASSURANCE & ADV SERV|0|0|0|Irene N.  McCarthy (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|16386|ACC|605|0|D|3.000|INTERN IN ASSURANCE & ADV SERV|0|0|0|Joseph E  Trainor (P)|
false|7:10 pm - 9:40 pm|T|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|12247|ACC|620|0|Q|3.000|COST ADMINISTRATION|22|0|0|Vincent J.  Shea II (P)|
false|7:10 pm - 9:40 pm|W|ST. JOHN HALL 209|Jan 22, 2014 - May 13, 2014|15452|ACC|621|0|Q|3.000|CONTROLLERSHI|27|0|0|Michael D.  Porcelain (P)|
false|7:10 pm - 9:40 pm|W|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|11416|ACC|622|0|Q|3.000|ADVANCED MANAGEMENT ACCOUNTING|1|0|0|Yeong C.  Choi (P)|
false|3:00 pm - 5:30 pm|T|MURRAY HALL 215|Jan 22, 2014 - May 13, 2014|13427|ACC|622|0|M|3.000|ADVANCED MANAGEMENT ACCOUNTING|0|0|0|Ibrahim H.  Elifoglu (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|14127|ACC|622|0|D|3.000|ADVANCED MANAGEMENT ACCOUNTING|0|0|0|Craig A.  Latshaw (P)|
false|7:10 pm - 9:40 pm|T|LAVELLE HALL 210|Jan 22, 2014 - May 13, 2014|14832|ACC|622|0|S|3.000|ADVANCED MANAGEMENT ACCOUNTING|22|0|0|Craig A.  Latshaw (P)|
false|10:40 am - 1:10 pm|W|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|11417|ACC|623|0|Q|3.000|AUDITING ROBLEMS|0|0|0|David Y.  Chan (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|14128|ACC|623|0|D|3.000|AUDITING ROBLEMS|2|0|0|Joseph E  Trainor (P)|
false|12:15 pm - 2:45 pm|W|LAVELLE HALL 104|Jan 22, 2014 - May 13, 2014|14813|ACC|623|0|S|3.000|AUDITING ROBLEMS|33|0|0|Adrian P.  Fitzsimons (P)|
false|7:10 pm - 9:40 pm|R|ST. JOHN HALL 113|Jan 22, 2014 - May 13, 2014|11418|ACC|624|0|Q|3.000|INFORMATION TECH AUDITING|0|0|0|Ibrahim H.  Elifoglu (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|14126|ACC|624|0|D|3.000|INFORMATION TECH AUDITING|0|0|0|Ibrahim H.  Elifoglu (P)|
false|7:10 pm - 9:40 pm|M|LAVELLE HALL 201|Jan 22, 2014 - May 13, 2014|11939|ACC|625|0|S|3.000|ACC, ETHICS, & ROFESSIONALISM|24|0|0|John J.  Lynch (P)|
false|8:30 am - 11:00 am|S|MARILLAC HALL 122|Jan 22, 2014 - May 13, 2014|12242|ACC|625|0|Q|3.000|ACC, ETHICS, & ROFESSIONALISM|24|0|0|John J.  Lynch (P)|
false|2:00 pm - 4:30 pm|M|MURRAY HALL 208|Jan 22, 2014 - May 13, 2014|15428|ACC|625|0|M|3.000|ACC, ETHICS, & ROFESSIONALISM|19|0|0|Edward F.  Smith (P)|
false|7:10 pm - 9:40 pm|W|ST. JOHN HALL 212|Jan 22, 2014 - May 13, 2014|15400|ACC|628|0|Q|3.000|INTERNAL AUDIT|18|0|0|David Y.  Chan (P)|
false|12:00 pm - 2:30 pm|R|MURRAY HALL 219|Jan 22, 2014 - May 13, 2014|16354|ACC|628|0|M|3.000|INTERNAL AUDIT|25|0|0|David Y.  Chan (P)|
false|2:00 pm - 5:30 pm|M|MURRAY HALL 215|Jan 22, 2014 - May 13, 2014|11702|ACC|630|0|M|3.000|FIN REORTING: SEC TOICS|13|0|0|Timothy G.  Coville (P)|
false|7:10 pm - 10:40 pm|M|ST. JOHN HALL 213|Jan 22, 2014 - May 13, 2014|15514|ACC|630|0|Q|3.000|FIN REORTING: SEC TOICS|9|0|0|Timothy G.  Coville (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|16292|ACC|630|0|D|3.000|FIN REORTING: SEC TOICS|14|0|0|Nina T.  Dorata (P)|
false|5:00 pm - 6:15 pm|MR|ST. JOHN HALL 206|Jan 22, 2014 - May 13, 2014|11419|ACC|632|0|Q|3.000|CRITIQUE OF ACCOUNTING THEORY|0|0|0|Sylwia   Gornik-Tomaszewski (P)|
false|7:10 pm - 9:40 pm|R|ST. JOHN HALL 307|Jan 22, 2014 - May 13, 2014|11420|ACC|632|0|Q|3.000|CRITIQUE OF ACCOUNTING THEORY|0|0|0|Sylwia   Gornik-Tomaszewski (P)|
false|6:00 pm - 8:30 pm|W|MURRAY HALL 214|Jan 22, 2014 - May 13, 2014|13433|ACC|632|0|M|3.000|CRITIQUE OF ACCOUNTING THEORY|18|0|0|John J.  Lynch (P)|
false|3:25 pm - 4:40 pm|MR|D'ANGELO CENTER 207|Jan 22, 2014 - May 13, 2014|13648|ACC|632|0|Q|3.000|CRITIQUE OF ACCOUNTING THEORY|0|0|0|Sylwia   Gornik-Tomaszewski (P)|
false|TBA| |ST. JOHN'S UNIVERSITY ON-LINE|Jan 22, 2014 - May 13, 2014|14612|ACC|632|0|D|3.000|CRITIQUE OF ACCOUNTING THEORY|0|0|0|Irene N.  McCarthy (P)|
false|1:50 pm - 3:05 pm|TF|ST. JOHN HALL 209|Jan 22, 2014 - May 13, 2014|13020|ACC|638|0|Q|3.000|BUS ENTITIES & COMBINATIONS|1|0|0|Jialin   Sun (P)|
